Sample,TotalSig1Number,TotalSig5Number,TotalSig7Number,GDC_SigData.TotalMutNumber,CLASSIFICATION
TCGA-EE-A3AF-06A-11D-A196-08,0.044402169,0,0.726082137,1249,BRAF
TCGA-EE-A3AG-06A-31D-A196-08,0.039274654,0,0.841871373,2066,BRAF
TCGA-EE-A3AH-06A-11D-A196-08,0.014276041,0,0.856821032,453,BRAF
TCGA-EE-A3J3-06A-11D-A20D-08,0.203121916,0,0.590597086,229,BRAF
TCGA-EE-A3J4-06A-11D-A20D-08,0.07659403,0,0.623161601,392,BRAF
TCGA-EE-A3J5-06A-11D-A20D-08,0.033391746,0.020137974,0.853355054,2794,NF1
TCGA-EE-A3J7-06A-11D-A20D-08,0.072851657,0,0.630015044,1301,NRAS
TCGA-EE-A3J8-06A-11D-A20D-08,0,0,0.899950206,354,NRAS
TCGA-EE-A3JA-06A-11D-A20D-08,0.023493246,0,0.976506754,1374,NRAS
TCGA-EE-A3JB-06A-11D-A21A-08,0.041765758,0,0.639809029,778,BRAF
TCGA-EE-A3JD-06A-11D-A20D-08,0.055237388,0,0.857520855,3162,NF1
TCGA-EE-A3JE-06A-11D-A20D-08,0.083198713,0,0.57162432,328,BRAF
TCGA-EE-A3JH-06A-11D-A21A-08,0.147445625,0,0.689385112,227,BRAF
TCGA-EE-A3JI-06A-11D-A21A-08,0.031501727,0,0.683061059,1462,NRAS
TCGA-ER-A193-06A-12D-A197-08,0.04643841,0.062632022,0.845231606,2407,BRAF
TCGA-ER-A194-01A-11D-A197-08,0.045997993,0,0.866787682,1769,NF1
TCGA-ER-A195-06A-11D-A196-08,0.066161009,0,0.927400322,318,NRAS
TCGA-ER-A196-01A-11D-A197-08,0,0,0,19,WT
TCGA-ER-A197-06A-32D-A197-08,0.449594091,0.277218272,0,45,WT
TCGA-ER-A198-06A-11D-A196-08,0.084120209,0,0.764229322,622,BRAF
TCGA-ER-A199-06A-11D-A197-08,0.042430458,0,0.816317458,328,NRAS
TCGA-ER-A19A-06A-21D-A197-08,0.017347338,0,0.982652662,252,NF1
TCGA-ER-A19B-06A-11D-A196-08,0.070150899,0,0.275138147,109,BRAF
TCGA-ER-A19C-06A-11D-A196-08,0,0,0.692641907,110,BRAF
TCGA-ER-A19D-06A-11D-A197-08,0.072158778,0,0.785047667,591,NRAS
TCGA-ER-A19E-06A-11D-A197-08,0.101839221,0,0.681366073,571,BRAF
